PERSON_ID,FORMIDLINGSGRUPPEKODE,DATO_SIST_INAKTIV
215588,ISERV,2005-01-17
150788,ISERV,2005-01-17
790877,ISERV,2005-01-17
1211981,ISERV,2005-01-17
805584,ISERV,2005-01-17
1022585,ISERV,2005-01-17
866703,ISERV,2005-01-17
907352,ISERV,2005-01-17
835304,ISERV,2005-01-17
1277442,ISERV,2005-01-17
14491,ISERV,2002-12-12
1189655,ISERV,2002-12-12
1092473,ISERV,2003-08-25
24949,ISERV,2003-08-25
848541,ISERV,2003-08-25
1438,ISERV,2005-01-18
89876,ISERV,2005-01-18
93018,ISERV,2005-01-18
1028539,ISERV,2005-01-18
1180638,ISERV,2002-12-13
294137,ISERV,2003-08-26
499119,ISERV,2003-08-26
181647,ISERV,2005-01-19
1305324,ISERV,2005-01-19
1526421,ISERV,2005-01-19
149032,ISERV,2002-12-14
665323,ISERV,2002-12-14
86271,ISERV,2002-12-14
234834,ISERV,2002-12-14
1065733,ISERV,2002-12-14
1168197,ISERV,2002-12-14
1199976,ISERV,2002-12-14
1215112,ISERV,2002-12-14
1216453,ISERV,2002-12-14
1218547,ISERV,2002-12-14
1219164,ISERV,2002-12-14
1220877,ISERV,2002-12-14
1220935,ISERV,2002-12-14
1220972,ISERV,2002-12-14
1221019,ISERV,2002-12-14
515295,ISERV,2003-08-27
525367,ISERV,2003-08-27
1284626,ISERV,2003-08-27
1214895,ISERV,2005-01-20
1302673,ISERV,2005-01-20
553775,ISERV,2005-01-20
979803,ISERV,2005-01-20
406876,ISERV,2005-01-20
670014,ISERV,2005-10-03
1142515,ISERV,2004-05-10
1146395,ISERV,2004-05-10
4515,ISERV,2004-05-10
1244392,ISERV,2004-05-10
463081,ISERV,2004-05-10
942120,ISERV,2004-05-10
1155628,ISERV,2004-05-10
1302390,ISERV,2004-05-10
1473048,ISERV,2005-01-21
18340,ISERV,2002-12-16
1162457,ISERV,2002-12-16
1200439,ISERV,2002-12-16
1209224,ISERV,2002-12-16
1275521,ISERV,2003-08-29
478019,ISERV,2004-05-11
793423,ISERV,2004-05-11
1299796,ISERV,2004-05-11
183721,ISERV,2005-01-22
928129,ISERV,2005-01-22
1300624,ISERV,2005-01-22
1305595,ISERV,2005-01-22
1497812,ISERV,2005-01-22
1506603,ISERV,2005-01-22
10281,ISERV,2005-01-22
1484600,ISERV,2005-01-22
272908,ISERV,2003-08-30
388484,ISERV,2003-08-30
439254,ISERV,2003-08-30
477562,ISERV,2003-08-30
1135362,ISERV,2003-08-30
308339,ISERV,2003-08-30
356686,ISERV,2003-08-30
438053,ISERV,2003-08-30
967183,ISERV,2003-08-30
1245290,ISERV,2003-08-30
999312,ISERV,2004-05-12
1048085,ISERV,2004-05-12
1191049,ISERV,2004-05-12
1333032,ISERV,2004-05-12
882016,ISERV,2005-10-06
567810,ISERV,2002-12-18
106190,ISERV,2004-05-13
101969,ISERV,2004-05-13
506941,ISERV,2005-01-24
944037,ISERV,2003-09-01
724414,ISERV,2003-09-01
929362,ISERV,2003-09-01
1184377,ISERV,2003-09-01
1263120,ISERV,2003-09-01
1143281,ISERV,2004-05-14
636291,ISERV,2005-01-25
782404,ISERV,2005-01-25
995587,ISERV,2005-01-25
1161310,ISERV,2005-01-25
1212489,ISERV,2005-01-25
